fileNames,bBox
combinedPicsChallenging/0075.png,"[123,31,34,34]"
combinedPicsChallenging/0076.png,"[173,124,34,34]"
combinedPicsChallenging/0077.png,"[60,146,34,34]"
combinedPicsChallenging/0078.png,"[108,56,34,34]"
combinedPicsChallenging/0079.png,"[39,107,34,34]"
combinedPicsChallenging/0080.png,"[128,43,34,34]"
combinedPicsChallenging/0081.png,"[46,79,34,34]"
combinedPicsChallenging/0082.png,"[76,161,34,34]"
combinedPicsChallenging/0083.png,"[10,146,34,34]"
combinedPicsChallenging/0084.png,"[18,130,34,34]"
combinedPicsChallenging/0085.png,"[78,173,34,34]"
combinedPicsChallenging/0086.png,"[35,35,34,34]"
combinedPicsChallenging/0087.png,"[50,74,34,34]"
combinedPicsChallenging/0088.png,"[93,112,34,34]"
combinedPicsChallenging/0089.png,"[177,66,34,34]"
combinedPicsChallenging/0090.png,"[114,183,34,34]"
combinedPicsChallenging/0091.png,"[144,44,34,34]"
combinedPicsChallenging/0092.png,"[39,87,34,34]"
combinedPicsChallenging/0093.png,"[147,88,34,34]"
combinedPicsChallenging/0094.png,"[102,113,34,34]"
combinedPicsChallenging/0095.png,"[109,32,34,34]"
combinedPicsChallenging/0096.png,"[13,186,34,34]"
combinedPicsChallenging/0097.png,"[93,113,34,34]"
combinedPicsChallenging/0098.png,"[112,40,34,34]"
combinedPicsChallenging/0099.png,"[26,171,34,34]"
combinedPicsChallenging/0100.png,"[117,130,34,34]"
